Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
601016.SS,2.95,2020/09/15,15:00 CST,-0.089999914,3.01,3.02,2.92,67923457,,,,,,,
002277.SZ,4.85,2020/09/15,16:29 CST,0.21999979,4.62,5.09,4.55,66393588,,,,,,,
002067.SZ,3.68,2020/09/15,16:29 CST,-0.109999895,3.89,3.9,3.64,67278165,,,,,,,
600887.SS,39.93,2020/09/15,15:00 CST,0.90999985,39.0,40.32,39.0,68685191,,,,,,,
300433.SZ,34.28,2020/09/15,16:29 CST,-1.1000023,34.91,34.98,34.01,67696116,,,,,,,
300263.SZ,10.12,2020/09/15,16:29 CST,0.03999996,10.09,10.36,9.94,68554647,,,,,,,
002056.SZ,13.4,2020/09/15,16:29 CST,-0.40000057,13.75,13.75,13.3,68665062,,,,,,,
300352.SZ,7.64,2020/09/15,16:29 CST,-0.20000029,7.85,7.88,7.56,69664066,,,,,,,
002163.SZ,16.5,2020/09/15,16:29 CST,1.5,15.62,16.5,15.4,69375964,,,,,,,
600711.SS,6.2,2020/09/15,15:00 CST,-0.12000036,6.33,6.44,6.11,72008738,,,,,,,
000683.SZ,2.67,2020/09/15,16:29 CST,-0.00999999,2.64,2.72,2.62,71639812,,,,,,,
000698.SZ,5.79,2020/09/15,16:29 CST,0.3000002,5.5,6.04,5.4,71901960,,,,,,,
300304.SZ,5.88,2020/09/15,16:29 CST,0.01999998,6.0,6.2,5.72,72262078,,,,,,,
300276.SZ,5.96,2020/09/15,16:29 CST,-0.03999996,6.05,6.33,5.88,72413422,,,,,,,
300043.SZ,4.65,2020/09/15,16:29 CST,0.09000015,4.66,4.8,4.47,73177618,,,,,,,
601933.SS,8.35,2020/09/15,15:00 CST,0.0,8.34,8.39,8.29,73398468,,,,,,,
600050.SS,5.03,2020/09/15,15:00 CST,-0.029999733,5.06,5.07,5.01,74285077,,,,,,,
603993.SS,4.05,2020/09/15,15:00 CST,0.01999998,4.03,4.07,4.01,74422918,,,,,,,
300099.SZ,9.5,2020/09/15,16:29 CST,0.52999973,9.11,9.88,9.01,74586652,,,,,,,
000591.SZ,4.54,2020/09/15,16:29 CST,-0.05000019,4.57,4.7,4.48,74359680,,,,,,,
300266.SZ,4.23,2020/09/15,16:29 CST,-0.099999905,4.3,4.51,4.19,74021726,,,,,,,
300303.SZ,7.28,2020/09/15,16:29 CST,-0.23000002,7.6,7.6,7.19,74623283,,,,,,,
300184.SZ,6.95,2020/09/15,16:29 CST,-0.19000006,7.14,7.24,6.89,75445897,,,,,,,
002797.SZ,9.53,2020/09/15,16:29 CST,0.009999275,9.48,9.65,9.43,75574453,,,,,,,
600030.SS,30.22,2020/09/15,15:00 CST,0.17000008,30.06,30.45,29.92,77337857,,,,,,,
300110.SZ,5.7,2020/09/15,16:29 CST,-0.31000042,6.0,6.12,5.7,76344058,,,,,,,
300309.SZ,4.01,2020/09/15,16:29 CST,-0.10999966,4.13,4.24,3.94,76084247,,,,,,,
601988.SS,3.21,2020/09/15,15:00 CST,0.0,3.2,3.22,3.2,76982603,,,,,,,
300230.SZ,6.6,2020/09/15,16:29 CST,-0.13999987,6.78,7.07,6.46,76576186,,,,,,,
300418.SZ,28.94,2020/09/15,16:29 CST,-1.7699986,30.7,30.7,28.88,76271608,,,,,,,
601919.SS,5.72,2020/09/15,15:00 CST,0.07999992,5.6,5.74,5.48,78102349,,,,,,,
300100.SZ,12.99,2020/09/15,16:29 CST,-0.010000229,13.6,13.91,12.0,77928127,,,,,,,
600237.SS,4.96,2020/09/15,15:00 CST,0.13000011,4.79,5.08,4.62,78423954,,,,,,,
